date,code,imports,exports,name,total
2019-11,NL,230637231.0,0.0,Newfoundland & Labrador,230637231.0
2019-11,PE,24638553.0,0.0,Prince Edward Island,24638553.0
2019-11,YT,2224859.0,0.0,Yukon,2224859.0
2019-12,ON,28104694849.0,0.0,Ontario,28104694849.0
2019-12,QC,6675125467.0,0.0,Quebec,6675125467.0
2019-12,BC,4195237439.0,0.0,British Columbia,4195237439.0
2019-12,AB,2154703380.0,0.0,Alberta,2154703380.0
2019-12,MB,1653922152.0,0.0,Manitoba,1653922152.0
2019-12,NS,1105338716.0,0.0,Nova Scotia,1105338716.0
2019-12,NB,963340336.0,0.0,New Brunswick,963340336.0
2019-12,SK,791753451.0,0.0,Saskatchewan,791753451.0
2019-12,NL,366273552.0,0.0,Newfoundland & Labrador,366273552.0
2019-12,PE,16206967.0,0.0,Prince Edward Island,16206967.0
2019-12,YT,677006.0,0.0,Yukon,677006.0
2020-01,ON,27212987591.0,0.0,Ontario,27212987591.0
2020-01,QC,6829604687.0,0.0,Quebec,6829604687.0
2020-01,BC,4312311849.0,0.0,British Columbia,4312311849.0
2020-01,AB,2239393043.0,0.0,Alberta,2239393043.0
2020-01,MB,1715177067.0,0.0,Manitoba,1715177067.0
2020-01,NB,1135363358.0,0.0,New Brunswick,1135363358.0
2020-01,SK,973443759.0,0.0,Saskatchewan,973443759.0
2020-01,NS,679461367.0,0.0,Nova Scotia,679461367.0
2020-01,NL,542346831.0,0.0,Newfoundland & Labrador,542346831.0
2020-01,PE,6689051.0,0.0,Prince Edward Island,6689051.0
2020-01,NU,1194900.0,0.0,Nunavut,1194900.0
2020-01,YT,680184.0,0.0,Yukon,680184.0
2020-01,NT,1310.0,0.0,Northwest Territories,1310.0
2020-02,ON,27792162546.0,0.0,Ontario,27792162546.0
2020-02,QC,6234272021.0,0.0,Quebec,6234272021.0
2020-02,BC,4140421305.0,0.0,British Columbia,4140421305.0
2020-02,AB,2351222630.0,0.0,Alberta,2351222630.0
2020-02,MB,1744080351.0,0.0,Manitoba,1744080351.0
2020-02,NB,941272860.0,0.0,New Brunswick,941272860.0
2020-02,SK,924783778.0,0.0,Saskatchewan,924783778.0
2020-02,NS,590018361.0,0.0,Nova Scotia,590018361.0
2020-02,NL,286784014.0,0.0,Newfoundland & Labrador,286784014.0
2020-02,YT,1374720.0,0.0,Yukon,1374720.0
2020-02,PE,738277.0,0.0,Prince Edward Island,738277.0
2020-03,ON,30489640893.0,0.0,Ontario,30489640893.0
2020-03,QC,7018051041.0,0.0,Quebec,7018051041.0
2020-03,BC,4540116659.0,0.0,British Columbia,4540116659.0
2020-03,AB,2405999738.0,0.0,Alberta,2405999738.0
2020-03,MB,2060696011.0,0.0,Manitoba,2060696011.0
2020-03,SK,1002585810.0,0.0,Saskatchewan,1002585810.0
2020-03,NB,784098049.0,0.0,New Brunswick,784098049.0
2020-03,NS,780197581.0,0.0,Nova Scotia,780197581.0
2020-03,NL,319158269.0,0.0,Newfoundland & Labrador,319158269.0
2020-03,PE,3592023.0,0.0,Prince Edward Island,3592023.0
2020-03,YT,1717998.0,0.0,Yukon,1717998.0
2020-03,NU,80763.0,0.0,Nunavut,80763.0
2020-04,ON,21625807337.0,0.0,Ontario,21625807337.0
2020-04,QC,5429111890.0,0.0,Quebec,5429111890.0
2020-04,BC,3851985552.0,0.0,British Columbia,3851985552.0
2020-04,AB,1983878678.0,0.0,Alberta,1983878678.0
2020-04,MB,1522140050.0,0.0,Manitoba,1522140050.0
2020-04,SK,841461036.0,0.0,Saskatchewan,841461036.0
2020-04,NS,571249073.0,0.0,Nova Scotia,571249073.0
2020-04,NB,455230021.0,0.0,New Brunswick,455230021.0
2020-04,NL,87474440.0,0.0,Newfoundland & Labrador,87474440.0
2020-04,YT,2635578.0,0.0,Yukon,2635578.0
2020-04,PE,1111059.0,0.0,Prince Edward Island,1111059.0
2020-05,ON,20504725557.0,0.0,Ontario,20504725557.0
2020-05,QC,5338057826.0,0.0,Quebec,5338057826.0
2020-05,BC,3675510506.0,0.0,British Columbia,3675510506.0
2020-05,AB,1871954182.0,0.0,Alberta,1871954182.0
2020-05,MB,1487331535.0,0.0,Manitoba,1487331535.0
2020-05,SK,747872372.0,0.0,Saskatchewan,747872372.0
2020-05,NB,486316250.0,0.0,New Brunswick,486316250.0
2020-05,NS,482254029.0,0.0,Nova Scotia,482254029.0
2020-05,NL,21565757.0,0.0,Newfoundland & Labrador,21565757.0
2020-05,PE,7209507.0,0.0,Prince Edward Island,7209507.0
2020-05,YT,3326911.0,0.0,Yukon,3326911.0
2020-06,ON,26892076575.0,0.0,Ontario,26892076575.0
2020-06,QC,6095744274.0,0.0,Quebec,6095744274.0
2020-06,BC,4512788004.0,0.0,British Columbia,4512788004.0
2020-06,AB,1823372518.0,0.0,Alberta,1823372518.0
2020-06,MB,1525340917.0,0.0,Manitoba,1525340917.0
2020-06,NS,1263993275.0,0.0,Nova Scotia,1263993275.0
2020-06,SK,720853557.0,0.0,Saskatchewan,720853557.0
2020-06,NB,655632193.0,0.0,New Brunswick,655632193.0
2020-06,NL,174989825.0,0.0,Newfoundland & Labrador,174989825.0
2020-06,YT,18286399.0,0.0,Yukon,18286399.0
2020-06,PE,3122050.0,0.0,Prince Edward Island,3122050.0
2020-07,ON,29006901214.0,0.0,Ontario,29006901214.0
2020-07,QC,6628788301.0,0.0,Quebec,6628788301.0
2020-07,BC,4704672011.0,0.0,British Columbia,4704672011.0
2020-07,AB,1876188436.0,0.0,Alberta,1876188436.0
2020-07,MB,1607541705.0,0.0,Manitoba,1607541705.0
2020-07,NL,804311787.0,0.0,Newfoundland & Labrador,804311787.0
2020-07,NB,793534831.0,0.0,New Brunswick,793534831.0
2020-07,SK,761513616.0,0.0,Saskatchewan,761513616.0
2020-07,NS,710727997.0,0.0,Nova Scotia,710727997.0
2020-07,YT,11150377.0,0.0,Yukon,11150377.0
2020-07,PE,2727109.0,0.0,Prince Edward Island,2727109.0
2020-08,ON,30856933929.0,0.0,Ontario,30856933929.0
2020-08,QC,6220708330.0,0.0,Quebec,6220708330.0
2020-08,BC,4645614134.0,0.0,British Columbia,4645614134.0
2020-08,AB,1715680569.0,0.0,Alberta,1715680569.0
2020-08,MB,1632452006.0,0.0,Manitoba,1632452006.0
2020-08,SK,730416718.0,0.0,Saskatchewan,730416718.0
2020-08,NS,674229612.0,0.0,Nova Scotia,674229612.0
2020-08,NB,568697797.0,0.0,New Brunswick,568697797.0
2020-08,NL,96705687.0,0.0,Newfoundland & Labrador,96705687.0
2020-08,NT,10377249.0,0.0,Northwest Territories,10377249.0
2020-08,PE,6830495.0,0.0,Prince Edward Island,6830495.0
2020-08,YT,3552827.0,0.0,Yukon,3552827.0
2020-08,NU,362247.0,0.0,Nunavut,362247.0
2020-09,ON,30746504314.0,0.0,Ontario,30746504314.0
2020-09,QC,7051918336.0,0.0,Quebec,7051918336.0
2020-09,BC,4759258573.0,0.0,British Columbia,4759258573.0
2020-09,AB,1979323778.0,0.0,Alberta,1979323778.0
2020-09,MB,1704634464.0,0.0,Manitoba,1704634464.0
2020-09,SK,870814401.0,0.0,Saskatchewan,870814401.0
2020-09,NB,799698233.0,0.0,New Brunswick,799698233.0
2020-09,NS,637053907.0,0.0,Nova Scotia,637053907.0
2020-09,NL,153418150.0,0.0,Newfoundland & Labrador,153418150.0
2020-09,YT,3504996.0,0.0,Yukon,3504996.0
2020-09,PE,1898566.0,0.0,Prince Edward Island,1898566.0
2020-09,NU,22.0,0.0,Nunavut,22.0
2020-10,ON,32755924696.0,0.0,Ontario,32755924696.0
2020-10,QC,6568755817.0,0.0,Quebec,6568755817.0
2020-10,BC,5096635698.0,0.0,British Columbia,5096635698.0
2020-10,AB,2088654925.0,0.0,Alberta,2088654925.0
2020-10,MB,1788730295.0,0.0,Manitoba,1788730295.0
2020-10,NB,915091937.0,0.0,New Brunswick,915091937.0
2020-10,SK,812070900.0,0.0,Saskatchewan,812070900.0
2020-10,NS,678382439.0,0.0,Nova Scotia,678382439.0
2020-10,NL,63441495.0,0.0,Newfoundland & Labrador,63441495.0
2020-10,PE,11120643.0,0.0,Prince Edward Island,11120643.0
2020-10,YT,4429167.0,0.0,Yukon,4429167.0
2020-11,ON,30928585474.0,0.0,Ontario,30928585474.0
2020-11,QC,6610538345.0,0.0,Quebec,6610538345.0
2020-11,BC,4735469042.0,0.0,British Columbia,4735469042.0
2020-11,AB,2052321652.0,0.0,Alberta,2052321652.0
2020-11,MB,1659612925.0,0.0,Manitoba,1659612925.0
2020-11,SK,859924127.0,0.0,Saskatchewan,859924127.0
2020-11,NB,831280007.0,0.0,New Brunswick,831280007.0
2020-11,NS,611972040.0,0.0,Nova Scotia,611972040.0
2020-11,NL,78767610.0,0.0,Newfoundland & Labrador,78767610.0
2020-11,PE,9273888.0,0.0,Prince Edward Island,9273888.0
2020-11,YT,2453978.0,0.0,Yukon,2453978.0
2020-12,ON,30102674443.0,0.0,Ontario,30102674443.0
2020-12,QC,6454324998.0,0.0,Quebec,6454324998.0
2020-12,BC,4442338825.0,0.0,British Columbia,4442338825.0
2020-12,AB,2036497538.0,0.0,Alberta,2036497538.0
2020-12,MB,1621649937.0,0.0,Manitoba,1621649937.0
2020-12,SK,787860690.0,0.0,Saskatchewan,787860690.0
2020-12,NB,727947828.0,0.0,New Brunswick,727947828.0
2020-12,NS,675976929.0,0.0,Nova Scotia,675976929.0
2020-12,NL,68457294.0,0.0,Newfoundland & Labrador,68457294.0
2020-12,PE,13310231.0,0.0,Prince Edward Island,13310231.0
2020-12,YT,712376.0,0.0,Yukon,712376.0
2021-01,ON,27809010682.0,0.0,Ontario,27809010682.0
2021-01,QC,5869885200.0,0.0,Quebec,5869885200.0
2021-01,BC,4266709159.0,0.0,British Columbia,4266709159.0
2021-01,AB,1971240194.0,0.0,Alberta,1971240194.0
2021-01,MB,1581981849.0,0.0,Manitoba,1581981849.0
2021-01,NB,923992687.0,0.0,New Brunswick,923992687.0
2021-01,SK,767580352.0,0.0,Saskatchewan,767580352.0
2021-01,NS,631373207.0,0.0,Nova Scotia,631373207.0
2021-01,NL,106367059.0,0.0,Newfoundland & Labrador,106367059.0
2021-01,YT,2020992.0,0.0,Yukon,2020992.0
2021-01,PE,1778462.0,0.0,Prince Edward Island,1778462.0
2021-02,ON,27589130729.0,0.0,Ontario,27589130729.0
2021-02,QC,6061840438.0,0.0,Quebec,6061840438.0
2021-02,BC,4204102321.0,0.0,British Columbia,4204102321.0
2021-02,AB,2051476005.0,0.0,Alberta,2051476005.0
2021-02,MB,1514302706.0,0.0,Manitoba,1514302706.0
2021-02,NB,942776621.0,0.0,New Brunswick,942776621.0
2021-02,SK,773896361.0,0.0,Saskatchewan,773896361.0
2021-02,NS,562825273.0,0.0,Nova Scotia,562825273.0
2021-02,NL,10648726.0,0.0,Newfoundland & Labrador,10648726.0
2021-02,PE,824941.0,0.0,Prince Edward Island,824941.0
2021-02,YT,226569.0,0.0,Yukon,226569.0
2021-03,ON,33936324492.0,0.0,Ontario,33936324492.0
2021-03,QC,7785085361.0,0.0,Quebec,7785085361.0
2021-03,BC,5398537798.0,0.0,British Columbia,5398537798.0
2021-03,AB,2553587807.0,0.0,Alberta,2553587807.0
2021-03,MB,2106648150.0,0.0,Manitoba,2106648150.0
2021-03,NB,1080635408.0,0.0,New Brunswick,1080635408.0
2021-03,SK,1020029389.0,0.0,Saskatchewan,1020029389.0
2021-03,NS,866845386.0,0.0,Nova Scotia,866845386.0
2021-03,NL,207772852.0,0.0,Newfoundland & Labrador,207772852.0
2021-03,NU,5042400.0,0.0,Nunavut,5042400.0
2021-03,PE,2947198.0,0.0,Prince Edward Island,2947198.0
2021-03,YT,888344.0,0.0,Yukon,888344.0
2021-04,ON,30368726147.0,0.0,Ontario,30368726147.0
2021-04,QC,6907836530.0,0.0,Quebec,6907836530.0
2021-04,BC,4977917777.0,0.0,British Columbia,4977917777.0
2021-04,AB,2438742889.0,0.0,Alberta,2438742889.0
2021-04,MB,2028865300.0,0.0,Manitoba,2028865300.0
2021-04,NB,1135850123.0,0.0,New Brunswick,1135850123.0
2021-04,NS,1091290536.0,0.0,Nova Scotia,1091290536.0
2021-04,SK,972778645.0,0.0,Saskatchewan,972778645.0
2021-04,NL,34831793.0,0.0,Newfoundland & Labrador,34831793.0
2021-04,NU,5937525.0,0.0,Nunavut,5937525.0
2021-04,YT,2159747.0,0.0,Yukon,2159747.0
2021-04,PE,1769512.0,0.0,Prince Edward Island,1769512.0
2021-05,ON,30517145634.0,0.0,Ontario,30517145634.0
2021-05,QC,7454363129.0,0.0,Quebec,7454363129.0
2021-05,BC,5146066635.0,0.0,British Columbia,5146066635.0
2021-05,AB,2626493420.0,0.0,Alberta,2626493420.0
2021-05,MB,1916070068.0,0.0,Manitoba,1916070068.0
2021-05,NB,1062017233.0,0.0,New Brunswick,1062017233.0
2021-05,SK,968964114.0,0.0,Saskatchewan,968964114.0
2021-05,NS,776501424.0,0.0,Nova Scotia,776501424.0
2021-05,NL,74032628.0,0.0,Newfoundland & Labrador,74032628.0
2021-05,YT,7568381.0,0.0,Yukon,7568381.0
2021-05,PE,1819901.0,0.0,Prince Edward Island,1819901.0
2021-05,NU,741001.0,0.0,Nunavut,741001.0
2021-06,ON,31097678892.0,0.0,Ontario,31097678892.0
2021-06,QC,7857468747.0,0.0,Quebec,7857468747.0
2021-06,BC,5497742300.0,0.0,British Columbia,5497742300.0
2021-06,AB,2718426030.0,0.0,Alberta,2718426030.0
2021-06,MB,1899556496.0,0.0,Manitoba,1899556496.0
2021-06,SK,1009846512.0,0.0,Saskatchewan,1009846512.0
2021-06,NB,984519051.0,0.0,New Brunswick,984519051.0
2021-06,NS,757277767.0,0.0,Nova Scotia,757277767.0
2021-06,NL,183745371.0,0.0,Newfoundland & Labrador,183745371.0
2021-06,YT,6499485.0,0.0,Yukon,6499485.0
2021-06,PE,1459953.0,0.0,Prince Edward Island,1459953.0
2021-07,ON,30523135888.0,0.0,Ontario,30523135888.0
2021-07,QC,7522647105.0,0.0,Quebec,7522647105.0
2021-07,BC,5216807282.0,0.0,British Columbia,5216807282.0
2021-07,AB,2799950472.0,0.0,Alberta,2799950472.0
2021-07,MB,1895948805.0,0.0,Manitoba,1895948805.0
2021-07,NB,1312005341.0,0.0,New Brunswick,1312005341.0
2021-07,NS,969197723.0,0.0,Nova Scotia,969197723.0
2021-07,SK,935946266.0,0.0,Saskatchewan,935946266.0
2021-07,NL,209438081.0,0.0,Newfoundland & Labrador,209438081.0
2021-07,YT,11188401.0,0.0,Yukon,11188401.0
2021-07,PE,1407700.0,0.0,Prince Edward Island,1407700.0
2021-07,NU,203092.0,0.0,Nunavut,203092.0
2021-08,ON,31069296948.0,0.0,Ontario,31069296948.0
2021-08,QC,8022377941.0,0.0,Quebec,8022377941.0
2021-08,BC,6011451697.0,0.0,British Columbia,6011451697.0
2021-08,AB,2695703228.0,0.0,Alberta,2695703228.0
2021-08,MB,1926137316.0,0.0,Manitoba,1926137316.0
2021-08,NB,1199732200.0,0.0,New Brunswick,1199732200.0
2021-08,SK,905191487.0,0.0,Saskatchewan,905191487.0
2021-08,NS,689789524.0,0.0,Nova Scotia,689789524.0
2021-08,NL,55976671.0,0.0,Newfoundland & Labrador,55976671.0
2021-08,YT,8159029.0,0.0,Yukon,8159029.0
2021-08,NU,2404091.0,0.0,Nunavut,2404091.0
2021-08,PE,2057782.0,0.0,Prince Edward Island,2057782.0
2021-08,NT,1868705.0,0.0,Northwest Territories,1868705.0
2021-09,ON,30219490200.0,0.0,Ontario,30219490200.0
2021-09,QC,7213617282.0,0.0,Quebec,7213617282.0
2021-09,BC,6422629125.0,0.0,British Columbia,6422629125.0
2021-09,AB,2748194920.0,0.0,Alberta,2748194920.0
2021-09,MB,1858293703.0,0.0,Manitoba,1858293703.0
2021-09,NB,1065835662.0,0.0,New Brunswick,1065835662.0
2021-09,SK,894645172.0,0.0,Saskatchewan,894645172.0
2021-09,NS,688545040.0,0.0,Nova Scotia,688545040.0
2021-09,NL,248789966.0,0.0,Newfoundland & Labrador,248789966.0
2021-09,YT,5767289.0,0.0,Yukon,5767289.0
2021-09,PE,1022956.0,0.0,Prince Edward Island,1022956.0
2021-10,ON,32965733369.0,0.0,Ontario,32965733369.0
2021-10,QC,7574780722.0,0.0,Quebec,7574780722.0
2021-10,BC,6641432898.0,0.0,British Columbia,6641432898.0
2021-10,AB,2471456385.0,0.0,Alberta,2471456385.0
2021-10,MB,1940610087.0,0.0,Manitoba,1940610087.0
2021-10,SK,984312901.0,0.0,Saskatchewan,984312901.0
2021-10,NB,951808703.0,0.0,New Brunswick,951808703.0
2021-10,NS,691423806.0,0.0,Nova Scotia,691423806.0
2021-10,NL,168111930.0,0.0,Newfoundland & Labrador,168111930.0
2021-10,YT,5936461.0,0.0,Yukon,5936461.0
2021-10,PE,869187.0,0.0,Prince Edward Island,869187.0
2021-10,NT,45112.0,0.0,Northwest Territories,45112.0
2021-11,ON,34101112050.0,0.0,Ontario,34101112050.0
2021-11,QC,7603813397.0,0.0,Quebec,7603813397.0
2021-11,BC,5933785982.0,0.0,British Columbia,5933785982.0
2021-11,AB,2641326171.0,0.0,Alberta,2641326171.0
2021-11,MB,1769874104.0,0.0,Manitoba,1769874104.0
2021-11,NB,1272803418.0,0.0,New Brunswick,1272803418.0
2021-11,SK,999554410.0,0.0,Saskatchewan,999554410.0
2021-11,NS,812577868.0,0.0,Nova Scotia,812577868.0
2021-11,NL,93185400.0,0.0,Newfoundland & Labrador,93185400.0
2021-11,PE,17551105.0,0.0,Prince Edward Island,17551105.0
2021-11,NU,5293699.0,0.0,Nunavut,5293699.0
2021-11,YT,2601997.0,0.0,Yukon,2601997.0
2021-12,ON,34842349183.0,0.0,Ontario,34842349183.0
2021-12,QC,7650622783.0,0.0,Quebec,7650622783.0
2021-12,BC,5792828519.0,0.0,British Columbia,5792828519.0
2021-12,AB,2926645732.0,0.0,Alberta,2926645732.0
2021-12,MB,2116987321.0,0.0,Manitoba,2116987321.0
2021-12,NB,1475858320.0,0.0,New Brunswick,1475858320.0
2021-12,SK,855806721.0,0.0,Saskatchewan,855806721.0
2021-12,NS,758535155.0,0.0,Nova Scotia,758535155.0
2021-12,NL,29535212.0,0.0,Newfoundland & Labrador,29535212.0
2021-12,PE,27147965.0,0.0,Prince Edward Island,27147965.0
2021-12,YT,2447887.0,0.0,Yukon,2447887.0
2021-12,NT,29734.0,0.0,Northwest Territories,29734.0
2022-01,ON,29321681831.0,0.0,Ontario,29321681831.0
2022-01,QC,6925782319.0,0.0,Quebec,6925782319.0
2022-01,BC,5079731241.0,0.0,British Columbia,5079731241.0
2022-01,AB,2870186670.0,0.0,Alberta,2870186670.0
2022-01,MB,1880657813.0,0.0,Manitoba,1880657813.0
2022-01,NB,1214374865.0,0.0,New Brunswick,1214374865.0
2022-01,SK,903046682.0,0.0,Saskatchewan,903046682.0
2022-01,NS,636639847.0,0.0,Nova Scotia,636639847.0
2022-01,NL,116732344.0,0.0,Newfoundland & Labrador,116732344.0
2022-01,PE,15772076.0,0.0,Prince Edward Island,15772076.0
2022-01,NU,2015041.0,0.0,Nunavut,2015041.0
2022-01,YT,1003099.0,0.0,Yukon,1003099.0
2022-02,ON,31215532707.0,0.0,Ontario,31215532707.0
2022-02,QC,7212254834.0,0.0,Quebec,7212254834.0
2022-02,BC,5259550391.0,0.0,British Columbia,5259550391.0
2022-02,AB,2494028687.0,0.0,Alberta,2494028687.0
2022-02,MB,1912781327.0,0.0,Manitoba,1912781327.0
2022-02,NB,1206080904.0,0.0,New Brunswick,1206080904.0
2022-02,SK,1180252922.0,0.0,Saskatchewan,1180252922.0
2022-02,NS,576720657.0,0.0,Nova Scotia,576720657.0
