date,partner,imports,exports,total
2019-10,France,833979941,272511807,1106491748
2019-10,Italy,849484082,247969868,1097453950
2019-10,India,468758471,345188119,813946590
2019-10,Netherlands,452161078,342432678,794593756
2019-10,Viet Nam,671388027,56785974,728174001
2019-10,Belgium,484599572,212827139,697426711
2019-10,Taiwan,503212589,155216085,658428674
2019-10,Brazil,483367798,138413244,621781042
2019-10,Switzerland,412682254,123625466,536307720
2019-10,Peru,373035528,101184974,474220502
2019-10,Australia,206724146,185130674,391854820
2019-10,Spain,295905830,92628841,388534671
2019-10,Thailand,336672916,47485371,384158287
2019-11,United States of America,23967099138,35294976703,59262075841
2019-11,China,6293057487,1737974858,8031032345
2019-11,Mexico,2956524507,617532394,3574056901
2019-11,United Kingdom,748561885,2227943247,2976505132
2019-11,Japan,1324450195,1101048232,2425498427
2019-11,Germany,1461846615,637207194,2099053809
2019-11,"Korea, South",757446530,384816507,1142263037
2019-11,France,718770821,416650639,1135421460
2019-11,Italy,809677870,245607781,1055285651
2019-11,India,436707909,388526241,825234150
2019-11,Viet Nam,696774328,87104914,783879242
2019-11,Netherlands,353428504,367937667,721366171
2019-11,Belgium,432608074,272421059,705029133
2019-11,Brazil,502526880,145128667,647655547
2019-11,Taiwan,469816065,127946552,597762617
2019-11,Switzerland,397541994,124177561,521719555
2019-11,Spain,286272143,159724855,445996998
2019-11,Peru,375155357,40243630,415398987
2019-11,Thailand,310666969,54497010,365163979
2019-11,Australia,182031719,177241337,359273056
2019-12,United States of America,22863793589,36903546528,59767340117
2019-12,China,5940236154,2314818014,8255054168
2019-12,Mexico,2853776272,542345675,3396121947
2019-12,United Kingdom,820263474,1664167394,2484430868
2019-12,Japan,1242090085,1195693420,2437783505
2019-12,Germany,1575093058,640869032,2215962090
2019-12,Italy,770075657,396312613,1166388270
2019-12,"Korea, South",599438899,405843930,1005282829
2019-12,France,603974280,368848528,972822808
2019-12,Belgium,605864605,266669460,872534065
2019-12,Netherlands,326781735,470367482,797149217
2019-12,Taiwan,451208634,221913251,673121885
2019-12,Viet Nam,567058796,92344957,659403753
2019-12,India,407674243,224108470,631782713
2019-12,Brazil,425446404,100371026,525817430
2019-12,Switzerland,355327048,154263962,509591010
2019-12,Spain,267935837,160731618,428667455
2019-12,Thailand,320815025,58358946,379173971
2019-12,Australia,155619442,209031395,364650837
2019-12,Peru,285473823,69085932,354559755
2020-01,United States of America,23453598715,35104128773,58557727488
2020-01,China,5584546249,1658851586,7243397835
2020-01,Mexico,2583528714,573975504,3157504218
2020-01,United Kingdom,611844852,1909222795,2521067647
2020-01,Japan,1207144489,1012311797,2219456286
2020-01,Germany,1429748862,466968705,1896717567
2020-01,Italy,772713231,206440014,979153245
2020-01,"Korea, South",655445698,319700508,975146206
2020-01,France,427392063,339335261,766727324
2020-01,Brazil,534081638,153329938,687411576
2020-01,India,411607314,264057440,675664754
2020-01,Viet Nam,597036444,69471920,666508364
2020-01,Netherlands,253550766,398194855,651745621
2020-01,Taiwan,502722562,116657922,619380484
2020-01,Switzerland,424664491,133042934,557707425
2020-01,Belgium,223614408,195765314,419379722
2020-01,Peru,353547352,48618378,402165730
2020-01,Australia,214584676,136139672,350724348
2020-01,Spain,271276916,78943914,350220830
2020-01,Thailand,269733986,58932846,328666832
2020-02,United States of America,24673898531,34066677819,58740576350
2020-02,China,4465467798,1478850565,5944318363
2020-02,Mexico,2808645764,513733753,3322379517
2020-02,United Kingdom,691751602,1500790059,2192541661
2020-02,Japan,1337350133,854154637,2191504770
2020-02,Germany,1396254575,533299074,1929553649
2020-02,Italy,709454672,338624705,1048079377
2020-02,"Korea, South",597655402,439623914,1037279316
2020-02,France,625225926,307339720,932565646
2020-02,India,398626133,394546591,793172724
2020-02,Switzerland,481179368,187366629,668545997
2020-02,Viet Nam,529160939,44440817,573601756
2020-02,Brazil,420105096,151620760,571725856
2020-02,Netherlands,169763120,369551053,539314173
2020-02,Taiwan,405512302,104873932,510386234
2020-02,Belgium,225839540,248144925,473984465
2020-02,Australia,133453023,240891683,374344706
2020-02,Spain,195187152,146013059,341200211
2020-02,Thailand,232406785,46025059,278431844
2020-02,Peru,227661826,47672790,275334616
2020-03,United States of America,26191944007,36714154165,62906098172
2020-03,China,4525275067,1880229861,6405504928
2020-03,Mexico,2912391068,585256445,3497647513
2020-03,Japan,1523532264,1198729292,2722261556
2020-03,Germany,1666779833,779657298,2446437131
2020-03,United Kingdom,805756611,1135959972,1941716583
2020-03,Italy,841087085,366239781,1207326866
2020-03,"Korea, South",774387961,373689328,1148077289
2020-03,France,607537075,346197924,953734999
2020-03,India,488070489,461642350,949712839
2020-03,Viet Nam,675842525,66859303,742701828
2020-03,Taiwan,520030745,171138866,691169611
2020-03,Switzerland,576267778,97642770,673910548
2020-03,Brazil,459243152,190889097,650132249
2020-03,Netherlands,294568085,347077328,641645413
2020-03,Belgium,333445212,219746453,553191665
2020-03,Thailand,391880387,84976565,476856952
2020-03,Spain,308211978,58798364,367010342
2020-03,Australia,146493636,204652832,351146468
2020-03,Peru,177617487,71767667,249385154
2020-04,United States of America,16068313162,22613529472,38681842634
2020-04,China,5548360542,2000361715,7548722257
2020-04,Japan,943654779,1057557939,2001212718
2020-04,Mexico,1538233296,298247765,1836481061
2020-04,Germany,1337758697,409518828,1747277525
2020-04,United Kingdom,586057709,1153934555,1739992264
2020-04,"Korea, South",645462665,400984115,1046446780
2020-04,Italy,574281257,299224570,873505827
2020-04,Brazil,657636422,208321256,865957678
2020-04,Netherlands,251613285,409950346,661563631
2020-04,France,440169922,189366459,629536381
2020-04,India,404479701,197271249,601750950
2020-04,Viet Nam,512709310,73720202,586429512
2020-04,Taiwan,421746281,137686556,559432837
2020-04,Belgium,281954364,246948469,528902833
2020-04,Switzerland,421553592,27256246,448809838
2020-04,Peru,306865544,73452727,380318271
2020-04,Australia,171806627,164405799,336212426
2020-04,Spain,273606811,62356369,335963180
2020-04,Thailand,248912667,71955598,320868265
2020-05,United States of America,15745637439,23341206182,39086843621
2020-05,China,6155275397,2485814012,8641089409
2020-05,United Kingdom,785594625,1042844818,1828439443
2020-05,Japan,636078500,1156316104,1792394604
2020-05,Mexico,1358628583,327743687,1686372270
2020-05,Germany,1107169796,359355449,1466525245
2020-05,Italy,575453004,295648449,871101453
2020-05,"Korea, South",400930954,448678431,849609385
2020-05,France,438604474,370380453,808984927
2020-05,Brazil,556121327,202356331,758477658
2020-05,Belgium,536089119,213520389,749609508
2020-05,Netherlands,211909302,388166923,600076225
2020-05,Taiwan,406642284,193100395,599742679
2020-05,Viet Nam,431733435,61281602,493015037
2020-05,Switzerland,430138638,55275095,485413733
2020-05,India,256554871,223262926,479817797
2020-05,Australia,223497967,189720792,413218759
2020-05,Thailand,264999416,62770767,327770183
2020-05,Spain,226703779,92344435,319048214
2020-05,Peru,121730081,139772812,261502893
2020-06,United States of America,21142448473,29445974932,50588423405
2020-06,China,6549898630,2469364678,9019263308
2020-06,Mexico,2328818491,488646898,2817465389
2020-06,United Kingdom,612288787,1877664067,2489952854
2020-06,Germany,1405382721,505911137,1911293858
2020-06,Japan,719469514,916088669,1635558183
2020-06,Belgium,984060552,193857971,1177918523
2020-06,"Korea, South",719406902,411502094,1130908996
2020-06,Italy,703569162,215546975,919116137
2020-06,Brazil,420612463,299785083,720397546
2020-06,Netherlands,276420470,424992479,701412949
2020-06,France,432261687,242694379,674956066
2020-06,India,314305278,352717031,667022309
2020-06,Viet Nam,559323512,72305209,631628721
2020-06,Taiwan,474095124,136743810,610838934
2020-06,Switzerland,417144804,158331025,575475829
2020-06,Australia,269936764,169249162,439185926
2020-06,Peru,318355829,53590210,371946039
2020-06,Thailand,276084652,87417383,363502035
2020-06,Spain,219419731,125650391,345070122
2020-07,United States of America,22253544859,31916335748,54169880607
2020-07,China,7185768395,2050264670,9236033065
2020-07,Mexico,2560416650,497511475,3057928125
2020-07,United Kingdom,575566406,1528088714,2103655120
2020-07,Japan,984104595,1063273401,2047377996
2020-07,Germany,1427132693,485157777,1912290470
2020-07,"Korea, South",1499114462,356505519,1855619981
2020-07,Italy,737768742,404551289,1142320031
2020-07,France,775724827,229672282,1005397109
2020-07,Viet Nam,685670685,60152301,745822986
2020-07,Brazil,571839947,167338093,739178040
2020-07,Netherlands,292340322,403086140,695426462
2020-07,Switzerland,489912867,193658728,683571595
2020-07,India,391311235,288902397,680213632
2020-07,Belgium,401217374,193303529,594520903
2020-07,Taiwan,464737809,113742429,578480238
2020-07,Australia,220435884,194609698,415045582
2020-07,Peru,329952720,79264997,409217717
