date,code,hs2,imports,exports,commodity,total
2019-01,QC,32,26646012.0,41512791.0,Tanning & dye extracts,68158803.0
2019-01,BC,19,38526856.0,29607056.0,Prepared cereals,68133912.0
2019-01,AB,38,41863984.0,26125640.0,Misc chemical products,67989624.0
2019-01,AB,31,27795851.0,39600674.0,Fertilizers,67396525.0
2019-01,QC,19,28400192.0,38773387.0,Prepared cereals,67173579.0
2019-01,QC,89,58348009.0,8721626.0,Ships & boats,67069635.0
2019-01,QC,83,44381102.0,21911014.0,Miscellaneous metal articles,66292116.0
2019-01,ON,54,27824304.0,36304744.0,Man-made filaments,64129048.0
2019-01,ON,59,31035324.0,32742658.0,Coated textiles,63777982.0
2019-01,ZZ,88,0.0,62851381.0,Aircraft & spacecraft,62851381.0
2019-01,QC,20,36994187.0,25632821.0,Prepared vegetables,62627008.0
2019-01,QC,31,58432114.0,3839802.0,Fertilizers,62271916.0
2019-01,NS,84,49482522.0,12711404.0,Machinery & mechanical appliances,62193926.0
2019-01,NB,47,4544385.0,57352541.0,Wood pulp,61896926.0
2019-01,NB,48,8902854.0,52508203.0,Paper & paperboard,61411057.0
2019-01,NB,44,11561737.0,49593074.0,Wood & wood articles,61154811.0
2019-01,ZZ,07,0.0,58162308.0,Vegetables,58162308.0
2019-01,MB,48,32137333.0,25342208.0,Paper & paperboard,57479541.0
2019-01,MB,90,47809718.0,9519374.0,Optical & medical instruments,57329092.0
2019-01,ON,56,45652561.0,10692792.0,Wadding & felt,56345353.0
2019-01,AB,28,13732530.0,41639372.0,Inorganic chemicals,55371902.0
2019-01,AB,75,2518523.0,52263305.0,Nickel,54781828.0
2019-01,MB,31,41713066.0,12831577.0,Fertilizers,54544643.0
2019-01,QC,98,2743050.0,51709931.0,Special transactions (CA),54452981.0
2019-01,ZZ,73,0.0,54249568.0,Articles of iron & steel,54249568.0
2019-01,QC,79,1248705.0,52859240.0,Zinc,54107945.0
2019-01,ON,04,38210221.0,15714832.0,Dairy products,53925053.0
2019-01,MB,94,36136401.0,17547354.0,Furniture,53683755.0
2019-01,QC,07,28243293.0,24928440.0,Vegetables,53171733.0
2019-01,QC,42,48422276.0,3211268.0,Leather goods,51633544.0
2019-01,ZZ,98,0.0,51121302.0,Special transactions (CA),51121302.0
2019-01,NB,84,36220418.0,14412168.0,Machinery & mechanical appliances,50632586.0
2019-01,AB,72,33078160.0,17007237.0,Iron & steel,50085397.0
2019-01,QC,70,40782937.0,9044238.0,Glass,49827175.0
2019-01,QC,68,22253696.0,26220043.0,Stone & cement articles,48473739.0
2019-01,ZZ,94,0.0,48262372.0,Furniture,48262372.0
2019-01,ZZ,39,0.0,48174612.0,Plastics,48174612.0
2019-01,QC,03,39512950.0,8571772.0,Fish & seafood,48084722.0
2019-01,ON,57,46270434.0,1505358.0,Carpets,47775792.0
2019-01,QC,49,21495857.0,26276579.0,Printed books & media,47772436.0
2019-01,QC,09,37996182.0,8617092.0,"Coffee, tea & spices",46613274.0
2019-01,MB,15,2752489.0,43628527.0,Animal/veg fats & oils,46381016.0
2019-01,QC,16,15892682.0,30308162.0,Prepared meat & fish,46200844.0
2019-01,MB,23,26182806.0,19743276.0,Food industry residues,45926082.0
2019-01,AB,81,8282739.0,36832446.0,Other base metals,45115185.0
2019-01,PE,84,2731576.0,41637829.0,Machinery & mechanical appliances,44369405.0
2019-01,BC,68,32422792.0,11868219.0,Stone & cement articles,44291011.0
2019-01,ON,06,23411099.0,20749746.0,Live trees & plants,44160845.0
2019-01,AB,20,12014506.0,31973572.0,Prepared vegetables,43988078.0
2019-01,SK,85,39071925.0,4722190.0,Electrical equipment,43794115.0
2019-01,MB,29,42699581.0,421656.0,Organic chemicals,43121237.0
2019-01,BC,71,20886064.0,20806614.0,Precious metals & stones,41692678.0
2019-01,AB,08,41564885.0,8016.0,Fruit & nuts,41572901.0
2019-01,AB,99,7852098.0,33400424.0,Confidential / low-value (CA),41252522.0
2019-01,ON,01,14967317.0,25604478.0,Live animals,40571795.0
2019-01,ON,89,38617365.0,1899270.0,Ships & boats,40516635.0
2019-01,NB,87,33944964.0,6201918.0,Vehicles,40146882.0
2019-01,BC,09,31576300.0,7824650.0,"Coffee, tea & spices",39400950.0
2019-01,QC,25,17388898.0,21627680.0,"Salt, sulphur, stone, cement",39016578.0
2019-01,ON,97,34487383.0,3596786.0,Works of art,38084169.0
2019-01,BC,02,25472995.0,12555559.0,Meat & offal,38028554.0
2019-01,BC,63,34673165.0,3267445.0,Other made-up textiles,37940610.0
2019-01,QC,82,24938664.0,12946762.0,Tools & cutlery,37885426.0
2019-01,BC,70,34012169.0,3857095.0,Glass,37869264.0
2019-01,BC,23,23860791.0,13215670.0,Food industry residues,37076461.0
2019-01,BC,89,29731583.0,6970079.0,Ships & boats,36701662.0
2019-01,QC,63,31925709.0,4389278.0,Other made-up textiles,36314987.0
2019-01,MB,20,4541004.0,31711737.0,Prepared vegetables,36252741.0
2019-01,BC,42,35018112.0,959002.0,Leather goods,35977114.0
2019-01,BC,83,30986089.0,4879593.0,Miscellaneous metal articles,35865682.0
2019-01,ON,91,35477183.0,292805.0,Clocks & watches,35769988.0
2019-01,ZZ,71,0.0,35132574.0,Precious metals & stones,35132574.0
2019-01,AB,40,32556867.0,2463115.0,Rubber,35019982.0
2019-01,ON,11,19777594.0,15203982.0,Milling products,34981576.0
2019-01,BC,15,19732307.0,15167199.0,Animal/veg fats & oils,34899506.0
2019-01,SK,47,0.0,34868921.0,Wood pulp,34868921.0
2019-01,QC,23,13434589.0,21209016.0,Food industry residues,34643605.0
2019-01,BC,82,27803626.0,6708478.0,Tools & cutlery,34512104.0
2019-01,MB,86,27898999.0,6267878.0,Railway equipment,34166877.0
2019-01,QC,36,16910672.0,17186799.0,Explosives,34097471.0
2019-01,ZZ,33,0.0,33403345.0,Cosmetics & perfumes,33403345.0
2019-01,SK,39,30808105.0,2540941.0,Plastics,33349046.0
2019-01,QC,12,17647540.0,15701186.0,Oil seeds,33348726.0
2019-01,NL,03,1855530.0,31323031.0,Fish & seafood,33178561.0
2019-01,BC,99,11991219.0,21159943.0,Confidential / low-value (CA),33151162.0
2019-01,ZZ,40,0.0,33138583.0,Rubber,33138583.0
2019-01,MB,01,847959.0,31981282.0,Live animals,32829241.0
2019-01,BC,25,14256374.0,18131862.0,"Salt, sulphur, stone, cement",32388236.0
2019-01,QC,34,13856224.0,18459834.0,Soap & cleaning products,32316058.0
2019-01,ON,31,21191031.0,10846266.0,Fertilizers,32037297.0
2019-01,AB,48,18704232.0,13271840.0,Paper & paperboard,31976072.0
2019-01,BC,16,30441617.0,1524979.0,Prepared meat & fish,31966596.0
2019-01,MB,98,83818.0,31637914.0,Special transactions (CA),31721732.0
2019-01,ZZ,95,0.0,31565540.0,Toys & sports equipment,31565540.0
2019-01,BC,33,20569507.0,10892373.0,Cosmetics & perfumes,31461880.0
2019-01,NL,75,0.0,30794285.0,Nickel,30794285.0
2019-01,NL,84,29858559.0,620160.0,Machinery & mechanical appliances,30478719.0
2019-01,SK,11,196871.0,30258806.0,Milling products,30455677.0
2019-01,QC,54,23331965.0,6941523.0,Man-made filaments,30273488.0
2019-01,MB,49,19538487.0,10615230.0,Printed books & media,30153717.0
2019-01,QC,81,18472046.0,11106492.0,Other base metals,29578538.0
2019-01,ZZ,62,0.0,28998671.0,Woven apparel,28998671.0
2019-01,MB,44,15618861.0,13107325.0,Wood & wood articles,28726186.0
2019-01,MB,40,27632701.0,991116.0,Rubber,28623817.0
2019-01,QC,96,17363697.0,10809944.0,Miscellaneous manufactures,28173641.0
2019-01,NB,20,1899987.0,26129673.0,Prepared vegetables,28029660.0
2019-01,QC,75,15467013.0,12133525.0,Nickel,27600538.0
2019-01,NS,47,299381.0,27008717.0,Wood pulp,27308098.0
2019-01,AB,76,14843109.0,12349587.0,Aluminium,27192696.0
2019-01,QC,10,5379943.0,21352530.0,Cereals,26732473.0
